roll_number,schoolname,address1,address2,address3,address4,county,local_auth,principalfirstname,principallastname,eircode,latitude,longitude,phone_no,email,schooltype
18848N,S N PEADAR AGUS POL,Knockafall,Straide,Foxford,Co. Mayo,Mayo,Mayo County Council,Caithríona,Murrihy,F26E927,53.9308376,-9.131266,949031267,info@straidens.ie,primary
18856M,SCOIL NAOMH IOSEF,Ballyheigue,Tralee,Co. Kerry,NULL,Kerry,Kerry County Council,Terence,Dineen,V92DR72,52.1685292,-9.7028287,667133080,stjosephsns@live.ie,primary
18857O,S N CARRAIG A BRUIS,Virginia,Co. Cavan,NULL,NULL,Cavan,Cavan County Council,Una,Keoghan McDonnell,A82HX80,53.8344096,-7.0813222,498548165,carrigabruise@eircom.net,primary
18864L,S N AN CUSAN,Coosan,Athlone,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Thomas,Flahive,N37TD88,53.4465263,-7.9344618,906478356,coosanns@gmail.com,primary
18872K,SCOIL IDE,Corbally Road,Limerick,NULL,NULL,Limerick,Limerick City Council,Grace,Burke,V94X659,52.6780878,-8.6144648,61345495,principal@scoilide.ie,primary
18874O,KILLYGORDAN N S,Main Street,Killygordon,Lifford,Co. Donegal,Donegal,Donegal County Council,DIANE,KEATLEY-ROBB,F93A0CP,54.7968309,-7.6835354,749149052,killygordonns64@gmail.com,primary
18876S,SN Baile Cuisin,Ballycushion,Kilconly,Tuam,Co. Galway,Mayo,Mayo County Council,Marian,Doyle,H54RK03,53.5578288,-9.0697585,9333614,ballycushionns@gmail.com,primary
18880J,S N GORT SCEICHE,Gortskehy,Hollymount,Co. Mayo,NULL,Mayo,Mayo County Council,Padraig,O Beirn,F12TF38,53.6338416,-9.027902,949364301,eolas@gortskehy.com,primary
18883P,S N IOSAGAIN,Spa Glen,Mallow,Co. Cork,NULL,Cork,Cork County Council,Linda,Dennehy,P51TD36,52.1436805,-8.6424858,2242766,scoiliosagainmallow@gmail.com,primary
18886V,KILL-O'-THE-GRANGE NS,Deansgrange,Blackrock,Co. Dublin,NULL,Dublin,Dun Laoghaire Rathdown,Hilary,McBain,A94X225,53.2782307,-6.161873,12894578,admin@kogrange.com,primary
18887A,St. Joseph's National School,Mulhussey,Kilcock,Co. Meath,NULL,Meath,Meath County Council,Violet,Molloy,W23T8YC,53.3992691,-6.6679201,16285513,maolhosae@gmail.com,primary
18910P,BANTIARNA NA MBUANNA BOYS,Ballymun Rd,DUBLIN 9,NULL,NULL,Dublin,Dublin City Council,Roisin,Hickey,D09HC90,53.3853859,-6.2651986,18375255,olvboys.ias@eircom.net,primary
18911R,BANTIARNA NA MBUANNA GIRLS,Ballymun Road,Dublin 9,NULL,NULL,Dublin,Dublin City Council,Lorna,Greene,D09NY99,53.3957536,-6.2621538,18379833,victories.ias@eircom.net,primary
18922W,S N CHLUAIN LUIFIN,Cloonliffen,Ballinrobe,Co. Mayo,NULL,Mayo,Mayo County Council,Arlene,Cahill,F31P206,53.6160948,-9.2755517,949541539,eolas@cloonliffen.com,primary
18929N,SCOIL NAOMH EINDE,Dr Mannix Road,Salthill,Galway,NULL,Galway,Galway City Council,Niamh,Hickey,H91Y725,53.2646873,-9.0830859,91521272,scoileindegalway@gmail.com,primary
18939Q,S N DONAIGH,CARNDONAGH,CO DONEGAL,NULL,NULL,Donegal,Donegal County Council,Caroline,Carey,F93CX21,55.2511667,-7.2604484,749374556,office@donaghns.ie,primary
18950E,Dromindoora N.S.,Dromindoora,Caher,Feakle,NULL,Clare,Clare County Council,Roisin,Reilly,V94XP71,52.9974412,-8.7211916,861713061,dromindoora.ias@eircom.net,primary
18968A,ST MALACHYS B N S,Edenmore Park,Raheny,Dublin 5,NULL,Dublin,Dublin City Council,Grainne,Roche,D05HP30,53.3882019,-6.1806964,18478952,stmalachyse.ias@eircom.net,primary
18969C,ST EITHNES SENIOR GIRLS NS,Edenmore,Raheny,Dublin 5,NULL,Dublin,Dublin City Council,Cormac,Henry,D05NH04,53.3893109,-6.1808278,18480630,steithnesgns@gmail.com,primary
18976W,S N CHOLMILLE B,Chapel Lane,Swords,NULL,NULL,Dublin,Fingal County Council,Ciara,Brangan,K67WP65,53.4567546,-6.2139359,18405132,colmcilles@gmail.com,primary
18977B,S N CHOLMCILLE C,Chapel Lane,Swords,Co. Dublin,NULL,Dublin,Fingal County Council,Karen,Burke Logue,K67H337,53.4577001,-6.2143221,18404168,colmcillesgns@gmail.com,primary
18979F,S N URSULA,Strandhill Road,Sligo,NULL,NULL,Sligo,Sligo County Council,Tony,Gallagher,F91WD27,54.270562,-8.492029,719162835,info@scoilursula.com,primary
18991S,J F K MEMORIAL SCHOOL,Ennis Road,Limerick,NULL,NULL,Limerick,Limerick City Council,Theresa,O'Sullivan,V94P9E8,52.666143,-8.6444606,61452090,info@jfkmemorialschool.com,primary
19000E,S N AN SPIORAID NAOMH C,Curraheen Road,Bishopstown,Cork,NULL,Cork,Cork City Council,Mary,O'Sullivan,T12RR68,51.8787407,-8.5281047,214543305,admin@bishopstowngirlsschool.ie,primary
19001G,BALLYBOGHILL N S,Ballyboughal,Co. Dublin,NULL,NULL,Dublin,Fingal County Council,Maeve,O'Doherty,A41RC98,53.521156,-6.2664662,18433469,principal@ballyboughalns.ie,primary
19006Q,EOIN BAISDE B SOIS,Seafield Road,Clontarf,Dublin 3,NULL,Dublin,Dublin City Council,John,O'Sullivan,D03TD21,53.3640752,-6.2001748,18336539,info@belgrovejbs.ie,primary
19007S,EOIN BAISDE C NAOIDH,Seafield Road West,Clontarf,Dublin 3,NULL,Dublin,Dublin City Council,Dearbhla,O'Driscoll,D03XK27,53.3640752,-6.2001748,18332459,secretary@belgrove.ie,primary
19008U,SCOIL PHADRAIG,Milltown,Mullingar,Co. Westmeath,NULL,Westmeath,Westmeath County Council,John,Gordon,N91YA24,53.5400346,-7.5452085,449355373,milltown_ns@yahoo.ie,primary
19009W,CRANFORD N S,Cranford,Letterkenny,Co. Donegal,NULL,Donegal,Donegal County Council,James,Whoriskey,F92TV00,55.1383645,-7.69701,749153437,cranfordns.ias@gmail.com,primary
19015R,ST JOSEPHS G N S,Barry Avenue,Finglas West,Dublin 11,NULL,Dublin,Dublin City Council,Áine,Fitzgerald,D11A8PD,53.3952446,-6.3097576,18342433,principal@stjosephsfinglas.net,primary
19018A,DANGAN MIXED N S,Dangan,Summerhill,Co. Meath,NULL,Meath,Meath County Council,Vincent,Brennan,A83HN83,53.4901386,-6.743321,469557332,dangan.school@yahoo.ie,primary
19036C,SCOIL PHADRAIG,GARRON,TYHOLLAND,CO MONAGHAN,NULL,Monaghan,Monaghan County Council,EADAOIN,MOORE,H18Y586,54.262523,-6.8764093,4785378,garron.ias@eircom.net,primary
19037E,ST MONICAS N S,Edenmore Park,Raheny,Dublin 5,NULL,Dublin,Dublin City Council,Sinead,Mullen,D05VX21,53.3875144,-6.180875,18674540,scoilmonica@gmail.com,primary
19043W,NEW QUAY NS,NEW QUAY,BURRIN,COUNTY CLARE,H91 HY40,Clare,Clare County Council,CARMEL,THYNNE,H91HY40,53.1450226,-9.0780532,657078188,scoilnaboirne@gmail.com,primary
19066L,LORETO NATIONAL SCHOOL,Loreto Avenue,Dalkey,Co. Dublin,NULL,Dublin,Dun Laoghaire Rathdown,Fióna,McKenna,A96P8N3,53.2803332,-6.1013311,12802128,secretary@loretopsdalkey.ie,primary
19089A,KILLAGHTEE N S,KILLAGHTEE,DUNKINEELY,CO DONEGAL,NULL,Donegal,Donegal County Council,NUALA,DUDLEY,F94PY82,54.6323769,-8.3710133,749737433,killaghteejunior@gmail.com,primary
19114T,ST PATRICK GNS,Ballyroan,Rathfarnham,Dublin 16,NULL,Dublin,South Dublin County Council,Anna,Jennings,D16XK80,53.2859998,-6.3002261,14946566,info@snp.ie,primary
19162H,THREEMILEHOUSE N S,Threemilehouse,Co. Monaghan,NULL,NULL,Monaghan,Monaghan County Council,Andrea,Malone,H18R924,54.21667,-7.0426713,4757492,office@threemilehousens.com,primary
19171I,S N NAOMH MHUIRE,BAILE NUA AN CHAISIL,CO LONGPHORT,NULL,NULL,Longford,Longford County Council,MARIE,FALLON,N39PC82,53.5831116,-7.9402715,433325433,newtownc1@gmail.com,primary
19177U,ST PIUS X N S BOYS,Fortfield Park,Terenure,Dublin 6,NULL,Dublin,South Dublin County Council,Lorcan,Coyle,D6WHP92,53.3022629,-6.3034831,14903057,secretary@piusxbns.ie,primary
19178W,ST PIUS X G N S,Fortfield Park,Terenure,Dublin 6W,NULL,Dublin,South Dublin County Council,Áine,Doyle,D6WPN27,53.3022629,-6.3034831,14901052,secretary@piusxgns.ie,primary
19197D,ST KEVINS B N S,Barry Avenue,Finglas West,Dublin 11,NULL,Dublin,Dublin City Council,Noleen,Griffiths,D11VW22,53.3960099,-6.3093012,18343061,stkevinsadmin@eircom.net,primary
19202Q,DRUMKILLY NS,Kilnaleck,Co. Cavan,NULL,NULL,Cavan,Cavan County Council,Ena,Corr,A82VY00,53.8891052,-7.3446158,494336517,office@drumkillyns.ie,primary
19205W,NAOMH TOLA N S,Hiskinstown,Delvin,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Eileen,Smyth,N91XH26,53.5850658,-7.1313795,449664457,st.tolas@hotmail.com,primary
19208F,HOLY SPIRIT B N S,Sillogue Road,Ballymun,Dublin 11,NULL,Dublin,Dublin City Council,Vivienne,Bryan,D11N207,53.3957884,-6.2698271,18421230,holyspiritbns@yahoo.co.uk,primary
19209H,SN AN SPIORAID NAIOMH C,Sillogue Road,Ballymun,Dublin 11,NULL,Dublin,Dublin City Council,Emma,Conroy,D11X26P,53.3953532,-6.264765,18420207,principal@holyspiritgns.ie,primary
19215C,S N ARD MHUIRE C,Donore Avenue,Drogheda,Co. Louth,NULL,Louth,Louth County Council,Ms,Kay McQuaile,A92FD60,53.7116017,-6.3639459,419837150,office@marymountgns.ie,primary
19220S,SCOIL NAOMH IDE,New Road,Clondalkin,Dublin 22,NULL,Dublin,South Dublin County Council,Orla,Ní Odhráin,D22ED72,53.3174329,-6.3925806,14592766,secretary@scoilidepps.com,primary
19221U,SCOIL NAOMH AINE,New Road,Clondalkin Village,Dublin 22,NULL,Dublin,South Dublin County Council,Karen,McKevitt (Acting),D22X577,53.317277,-6.3916974,14591645,admin@scoilaine.ie,primary
19223B,S N PADRAIG,Harestown,Monasterboice,Drogheda,Co. Louth,Louth,Louth County Council,Fiachra,Bell,A92VH02,53.7755754,-6.3530008,419822112,stpatsharestown@eircom.net,primary
19224D,S N CILLMIN,Rossmore,Clonakilty,Co. Cork,NULL,Cork,Cork County Council,Kenneth,McCarthy,P85YV21,51.6203379,-8.9055104,238838795,kilmeenoffice@gmail.com,primary
19225F,SCOIL MICHIL NAOFA,Walter Macken Road,Ballybane,Galway,NULL,Galway,Galway City Council,Paul,Munroe,H91YD58,53.2826113,-9.0136522,91753300,mervuebns@gmail.com,primary
19226H,SCOIL NA TRIONOIDE NAOFA,Mervue,Galway,NULL,NULL,Galway,Galway City Council,Peter,Woods,H91A3H2,53.2826113,-9.0136522,91755920,peterpwoods@eircom.net,primary
19228L,S N NAOMH BRID,Na Dúnaibh,Leitir Ceanainn,Co. Dhún na nGall,NULL,Donegal,Donegal County Council,Terri,Uí Mhairtín,F92XP86,55.1948628,-7.8369654,749155490,scoilnaomhbridns@gmail.com,primary
19231A,S N BARRA NAOFA BHUACH,Beaumont,Cork,NULL,NULL,Cork,Cork City Council,Fiona,Meehan,T12A564,51.889011,-8.428425,214293387,info@beaumontboys.ie,primary
19232C,S N BARRA NAOFA CAILINI,Woodvale Road,Beaumont,Cork,NULL,Cork,Cork City Council,Marge,O'Brien,T12EK77,51.8894349,-8.4288344,214364364,beaumontoffice@gmail.com,primary
19235I,PORTLEAN N S,KILMACRENNAN,LETTERKENNY,NULL,NULL,Donegal,Donegal County Council,Hazel,Britton,F92T256,55.0584001,-7.7281569,749153556,portleanns1@gmail.com,primary
19241D,Scoil Náisiúnta Róis,Rosary Lane,Taylor's Hill,Galway,NULL,Galway,Galway City Council,Michele,McCarra,H91W2V9,53.2681994,-9.0759107,91520908,scrois.ias@eircom.net,primary
19242F,OUR LADY OF VICTORIES INFANT N S,Ballymun Road,Dublin 9,NULL,NULL,Dublin,Dublin City Council,Mary,McDonnell,D09YC99,53.3885225,-6.2661401,18372372,office@olvinfants.com,primary
19246N,S N AN TSLANAITHEORA B,Ard Easmuinn,Dundalk,Co. Louth,NULL,Louth,Louth County Council,Michelle,Carmel Murray,A91DN76,54.00332,-6.4173072,429332053,redeemerboysschool@yahoo.com,primary
19247P,S N AN TSLANAITHEORA C,Ard Easmuinn Road,Dundalk,Co. Louth,NULL,Louth,Louth County Council,Patrick,O'Rourke,A91EC82,54.00332,-6.4173072,864041057,redeemerprincipal@gmail.com,primary
19249T,BARRYROE NS,Lislevane,Bandon,Co. Cork,NULL,Cork,Cork County Council,Orla,Whelton,P72YE28,51.6091828,-8.7473529,238840381,barryroens@gmail.com,primary
19251G,SCOIL NAOMH DEAGHA,The Glebe,Inniskeen,Dundalk,Co Louth,Monaghan,Monaghan County Council,Tomás,MacGiollachomain,A91DW66,54.0019493,-6.4042301,429378256,stdaigs@hotmail.com,primary
19252I,Scoil Eoin Baiste,Umlagh,Carrigart,Co. Donegal,NULL,Donegal,Donegal County Council,Breda,McGeever,F92HD88,55.1667298,-7.8003634,749155132,carrigartns@gmail.com,primary
19253K,Scoil Naomh Barra,Wilkinstown,Navan,Co. Meath,NULL,Meath,Meath County Council,James,Minnock,C15VW32,53.7318298,-6.7101415,469054329,office@wilkinstownns.ie,primary
19255O,ST MICHAELS NS,West Barrs,Glenfarne,Co. Leitrim,NULL,Leitrim,Leitrim County Council,Josephine,Gallery,F91YW25,54.29817,-8.0685845,719856057,glenfarnestmichaels@gmail.com,primary
19256Q,SCOIL GHOBNATAN,Bellevue,Mallow,Co. Cork,NULL,Cork,Cork County Council,Michael,Walsh,P51KW86,52.1301388,-8.6462728,2222192,office@scoilghobnatan.com,primary
19257S,STRABAGGAN N S,LOCH AILLINNE,CARA DROMA RUISG,CO ROSCOMMON,NULL,Roscommon,Roscommon County Council,ANNE,WHITE,N41VW08,54.043438,-9.177771,719646140,strabragganns@yahoo.co.uk,primary
19258U,SCOIL PADRAIG NAOFA B,Hollypark,Blackrock,Co. Dublin,NULL,Dublin,Dun Laoghaire Rathdown,Barry,O'Donovan,A94FE02,999,999,12896042,info@hollyparkbns.ie,primary
19259W,ST PATRICKS GNS,Foxrock Avenue,Foxrock,Dublin 18,NULL,Dublin,Dun Laoghaire Rathdown,Bernadette,Gunning,D18V659,53.2795586,-6.1754299,12893293,hollyparkgns@gmail.com,primary
19260H,S N CHOLMCILLE,BAILE NA FINNE,CO DHUN NA NGALL,NULL,NULL,Donegal,Donegal County Council,SEAGHAN,MAC LAIFEARTAI,F94VR04,54.869564,-8.115479,749546209,sncolmcille@gmail.com,primary
19267V,TEMPLEORUM N S,Templeorum,Piltown,via Carrick-on-Suir,Co. Kilkenny,Kilkenny,Kilkenny County Council,Maria,Rohan,E32CY24,52.3835279,-7.2979002,51643602,templeorum@gmail.com,primary
19272O,SN NAOMH IOSEF,Ballybrown,Clarina,Co. Limerick,NULL,Limerick,Limerick County Council,Joe,Lyons,V94C586,52.6346614,-8.7348336,61353276,principal@ballybrownns.ie,primary
19274S,ST CONAIRES NS,Tullyvarraga,Shannon,Co. Clare,NULL,Clare,Clare County Council,Peadar,Breathnach,V14X272,52.7081667,-8.8746151,61364694,conaires@gmail.com,primary
19275U,BARNADERG CENTRAL SCH,Barnaderg,Tuam,NULL,NULL,Galway,Galway County Council,JOHN,HENRY FLATTERY,H54EW71,53.5140517,-8.8544781,9349357,contact@barnadergns.com,primary
19276W,ST COLMANS MXD N S,Cummer,Tuam,Co. Galway,NULL,Galway,Galway County Council,Siobhán,Lynch,H54KP40,53.4500376,-8.8722508,9341649,stcolmansns@gmail.com,primary
19279F,S N NAOMH TREASA,Clontumpher,Ballinalee,Co. Longford,NULL,Longford,Longford County Council,Kevin,Mollaghan,N39EW95,53.7792068,-7.7111058,433323352,snnaomhtreasa.ias@eircom.net,primary
19280N,SCOIL NAOMH BRID,Muff,Lifford,Co. Donegal,NULL,Donegal,Donegal County Council,Teresa,Ward,F93YV78,55.0733756,-7.2686407,749384136,scoilnaomhbrid.ias@eircom.net,primary
19283T,BALLYMACWARD CENTRAL SC,BALLYMACWARD CENTRAL SC,BALLINASLOE,CO GALWAY,NULL,Galway,Galway County Council,Maura,Burke Hardiman,H53NX21,53.3287621,-8.2269467,909687696,ballymacwardns.ias@eircom.net,primary
19285A,KILL N S,Cootehill,Co. Cavan,NULL,NULL,Cavan,Cavan County Council,Pearse,McKenna,H16H580,54.0360172,-7.1182306,495553149,killnscootehill@gmail.com,primary
19290Q,BALLYCONEELY N S,Clifden,Co. Galway,NULL,NULL,Galway,Galway County Council,Elain,Conroy,H71N291,53.4292767,-10.0701066,9523945,ballyconneelyns@gmail.com,primary
19292U,CASTLETOWN N S,NAVAN,CO MEATH,NULL,NULL,Meath,Meath County Council,Claire,Downes,C15K225,53.7774864,-6.7169902,469054571,castletownkpns@gmail.com,primary
19294B,LISVERNANE N S,Lisvernane,The Glen of Aherlow,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Patricia,English,E34PX49,52.4118764,-8.2260811,6256288,info@lisvernanens.ie,primary
19296F,S N NAOMH COLMCILLE,AUGHNACLIFFE,CO LONGFORD,NULL,NULL,Longford,Longford County Council,AIDEEN,MULLIGAN,N39CD60,53.8477886,-7.6046275,436684408,aughnacliffens@eircom.net,primary
19297H,CROMCASTLE GREEN B N S,Cromcastle Green,Kilmore West,DUBLIN 5,NULL,Dublin,Dublin City Council,Martin,Stynes,D05YP68,53.3939232,-6.219731,18476709,mrstynes@scoilfhursa.ie,primary
19298J,SCOIL NAIS IDE CAILINI,Cromcastle Green,Kilmore West,Dublin 5,NULL,Dublin,Dublin City Council,Andrea,Lynch,D05TN12,53.3939232,-6.219731,18476048,info@scoilidegns.ie,primary
19300Q,CASTLEJORDAN CENTRAL NS,Castlejordan,Tullamore,Co. Offaly,NULL,Offaly,Meath County Council,Grace,Gleeson,R35NX94,53.3971158,-7.1213632,469739036,castlejordan.school@gmail.com,primary
19302U,SN NA MAIGHDINE MUIRE B,Shangan Road,Ballymun,Dublin 9,NULL,Dublin,Dublin City Council,John,Clinton,D09H2F2,53.3957536,-6.2621538,18421314,Info@virginmarybns.ie,primary
19303W,VIRGIN MARY GIRLS NATIONAL SCHOOL,Shangan Road,Ballymun,Dublin 9,NULL,Dublin,Dublin City Council,Niamh,Cuthbert,D09T2X6,53.3957795,-6.2610286,18421614,info@virginmarygns.ie,primary
19304B,S N CILLIN LIATH,Máistir Gaoithe,Cill Airne,Co. Chiarraí,NULL,Kerry,Kerry County Council,Maeve,Dineen Quirke,V23Y540,51.9049445,-10.0638027,669474474,cillinliathns@gmail.com,primary
19305D,TANKERSTOWN N S,Tankerstown,Bansha,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Nóirín,Ní Mhaoldhomhnaigh,E34AP68,52.4192194,-8.012001,6254588,tankerstownns@gmail.com,primary
19307H,DERRINAGREE N S,Derrinagree,Mallow,Co. Cork,NULL,Cork,Cork County Council,Andrias,O'Sullivan,P51PT63,52.1236895,-9.0358063,2978223,office@derinagreens.ie,primary
19308J,ST BRIGIDS BOYS N S,Howth Road,Killester,Dublin 5,NULL,Dublin,Dublin City Council,Nuala,Cullen,D05A386,53.3747793,-6.1958623,18336149,info@stbrigidsbns.ie,primary
19309L,SCOIL NEASAIN,Baile Harmain,Baile Átha Cliath 5,NULL,NULL,Dublin,Dublin City Council,Deirble,Nic Conghamhna,D05VF95,53.3821455,-6.196239,18316338,oifigscn@gmail.com,primary
19310T,SCOIL NAOMH EARNAN,Lisminton,Ballintra,Co. Donegal,NULL,Donegal,Donegal County Council,Joe,Curran,F94W018,54.5843253,-8.119533,749734440,sternansns@hotmail.com,primary
19313C,GLENSWILLY N S,Newmills,Letterkenny,Co. Donegal,NULL,Donegal,Donegal County Council,Joseph,Gallinagh,F92RH94,54.9357694,-7.8493559,749137342,glenswillyns@glenswilly.com,primary
19314E,SCOIL NA MAIGHDINE MHUIRE BOY,Broadford Rise,Ballinteer,Dublin 16,NULL,Dublin,Dun Laoghaire Rathdown,Colette,Howlett (Acting Principal),D16CX60,53.2753363,-6.2570937,14946647,info@olbns.com,primary
19317K,RATHANGAN N S,Rathangan,Duncormick,Co. Wexford,NULL,Wexford,Wexford County Council,John,Ormonde,Y35KT65,52.2329788,-6.6162945,51563167,principal.rathanganns@gmail.com,primary
19319O,ST Olaf's National School,Balally Drive,Dundrum,Dublin 16,NULL,Dublin,Dun Laoghaire Rathdown,Ger,Murphy,D16E067,53.2827824,-6.2265672,12956513,olaf.info@gmail.com,primary
19320W,OUR LADY OF GOOD COUNSEL BOYS N S,Johnstown,Dún Laoghaire,Co. Dublin,NULL,Dublin,Dun Laoghaire Rathdown,Neil,Cadogan,A96AF10,53.2645695,-6.1387086,12851449,johnstownbns@olgc.ie,primary
19321B,OUR LADY GOOD COUNSEL GNS,Woodley Road,Johnstown,Dun Laoghaire,Co. Dublin,Dublin,Dun Laoghaire Rathdown,Caroline,Quinn,A96A033,53.2639251,-6.1389119,12853775,office@johnstowngns.ie,primary
19322D,KILMORE CENTRAL N S,Kilmore,Co. Cavan,NULL,NULL,Cavan,Cavan County Council,Noelle,Keyes,H12EE03,53.9720761,-7.4206905,494332661,kilmorecns1@gmail.com,primary
19323F,S N BEAL ATHA GREAN,Ballyagran,Kilmallock,Co. Limerick,NULL,Limerick,Limerick County Council,Diarmuid,Carroll,V35W220,52.4032339,-8.7945606,6382015,info@ballyagrannationalschool.com,primary
19324H,S N TEAGHLAIGH NAOFA,SN TEAGHLAIGH NAOFA,KILLEEN,LOUISBURGH CO MAYO,NULL,Mayo,Mayo County Council,BRID,GRADY,F28X2D6,31.1171194,-97.7277959,9868651,killeenns2@gmail.com,primary
19326L,BUTLERSBRIDGE NS,Butlersbridge,Co. Cavan,NULL,NULL,Cavan,Cavan County Council,Niall,Clerkin,H12RR66,54.0452119,-7.3769588,494361730,bbcns.ias@eircom.net,primary
19331E,SCOIL CHRIOST RI B,Caherdavin,Limerick,NULL,NULL,Limerick,Limerick City Council,Patrick,Millane,V94N229,52.6744676,-8.6572914,61453484,info@scoilchriostribns.com,primary
19332G,S N MUIRE NA HEIREANN,Caherdavin,Limerick,NULL,NULL,Limerick,Limerick City Council,Suzanne,Cobbe,V94A5N7,52.6743701,-8.6587096,61454149,info@mqoi.ie,primary
19333I,DOOISH N S,BALLYBOFEY,CO DONEGAL,NULL,NULL,Donegal,Donegal County Council,MR,PATRICK M BONER,F93N768,54.8089035,-7.8443506,749131471,dooish@hotmail.com,primary
19335M,SCOIL NA AINGEAL,Newtownpark AVenue,Blackrock,Co. Dublin,NULL,Dublin,Dun Laoghaire Rathdown,Pádraig,Ó Néill,A94H395,53.2925023,-6.1714005,12833961,info@guardianangels.ie,primary
19336O,SCOIL PHOIL NAOFA,Dooradoyle,Co. Limerick,NULL,NULL,Limerick,Limerick County Council,John,Tuohy,nan,52.6372698,-8.6519717,61306645,jtuohy5@gmail.com,primary
19338S,FLAGMOUNT CENTRAL NS,Flagmount,Caher,Co. Clare,NULL,Clare,Clare County Council,Louise,O'Kelly,V94YW70,52.9863278,-8.6460702,61925177,flagmountns2019@gmail.com,primary
19339U,STRATFORD LODGE NS,BALTINGLASS,CO WICKLOW,NULL,NULL,Wicklow,Wicklow County Council,JANET,ROSS,W91KX75,52.9421301,-6.709909,596481919,stratfordlodge@gmail.com,primary
19342J,SCOIL NAOMH EOIN BAISTE,KILBRIN,KANTURK,CO CORK,NULL,Cork,Cork County Council,SEAN,O GORMAN,P51Y223,52.2107876,-8.8333322,2248164,office@kilbrinns.org,primary
19343L,S N DHUBHTHAIGH,ANAGAIRE,LEITIR CEANAINN,CO DHUN NA NGALL,NULL,Donegal,Donegal County Council,SILE,UI BHIATAIGH,F94YH05,55.02044,-8.3136601,749548162,annagryns@gmail.com,primary
19344N,ST AIDANS N S,KILMANAGH,CO KILKENNY,NULL,NULL,Kilkenny,Kilkenny County Council,Robert,Byrne,R95XN76,52.6202209,-7.421903,567769340,staidansnskilmanagh@gmail.com,primary
19345P,BALLYMACARBERRY N S,Ballymacarbry,Via Clonmel,Co. Waterford,NULL,Waterford,Waterford County Council,Michael,Joseph O'Ryan,E91E426,52.2819265,-7.740623,526136349,ballymacns@gmail.com,primary
19348V,NEWCESTOWN N S,Newcestown,Bandon,Co. Cork,NULL,Cork,Cork County Council,Dorothy,O'Donovan,P72VY04,51.7826855,-8.8690879,217338158,secretary@newcestownns.ie,primary
19350I,S N CHRUIMIN NAOFA,Rathyganny,Multyfarnham,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Karl,Dermody,N91EK68,53.6252723,-7.3893159,449371122,karl@stcremins.ie,primary
19351K,S N CILL CRIODAIN,Kilcredan,Ladysbridge,Co. Corik,NULL,Cork,Cork County Council,Margaret,Beausang,P25FW50,51.9071474,-8.0726501,2498220,kilcredanoffice@gmail.com,primary
19352M,SC NAIS REALTA NA MARA,Ballask,Kilmore,Co. Wexford,NULL,Wexford,Wexford County Council,Micheál,Martin,Y35YX20,52.20689,-6.5457373,539135230,kilmorens@gmail.com,primary
19353O,ST PATRICKS NS LONGFORD,Dromard,Moyne,Co. Longford,NULL,Longford,Longford County Council,Mary,Farrell,N39X827,53.9059507,-7.6482546,494335781,dromardps@hotmail.com,primary
19354Q,ST COLMANS N S,Cappagh,Croghan,Tullamore,Co. Offaly,Offaly,Offaly County Council,Niall,Kinnarney,R35Y635,53.3255377,-7.3677392,449223452,stcolmansns1@gmail.com,primary
19356U,KILLENAULE N S,Killenaule,Thurles,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Cliodhna,Breen,E41RK33,52.53818,-7.76965,529156447,principal@killenaulens.com,primary
19357W,SN TIR NA CILLE,Tír na Cille,An Mam,Co. na Gaillimhe,NULL,Galway,Galway County Council,Therese,Tierney,H91W635,999,999,91571168,sntirnacille@gmail.com,primary
19359D,S N NAOMH AONGHUS,Bunnmayne,Bridge End,Co. Donegal,NULL,Donegal,Donegal County Council,Séamus,McGowan,F93YX38,55.0422391,-7.3821884,749368352,aengusns@gmail.com,primary
19360L,DRUMKEERIN CENTRAL NS,Drumkeerin,Co. Leitrim,NULL,NULL,Leitrim,Leitrim County Council,Andrea,McManus,N41DK12,54.1653595,-8.1403187,719648314,drumkeerinns@gmail.com,primary
19362P,ST PATRICKS N S,Clara,Killybrone,Co. Monaghan,NULL,Monaghan,Monaghan County Council,Clare,Halligan,H18E365,54.262523,-6.8764093,4787569,secretary@stpatricksclara.com,primary
19363R,MULLAHORAN CENTRAL N S,Mullaghoran,Kilcogy,Co. Cavan,NULL,Cavan,Cavan County Council,Fionnuala,Mhig Eachráin,N39KA44,53.8392853,-7.4341107,436681100,mullahoranns.ias@eircom.net,primary
19364T,KILLEEVAN CENTRAL N S,Newbliss,Co. Monaghan,NULL,NULL,Monaghan,Monaghan County Council,Mary,Collins,H18H735,54.1640891,-7.1416258,4754023,killeevanoffice@yahoo.ie,primary
19365V,ACHADH NA SILEANN,Aughnasheelin,Ballinamore,Co. Leitrim,NULL,Leitrim,Leitrim County Council,Jerome,Quinn,N41NX92,54.0522181,-7.8032043,719644868,info@stmarysnsaughnasheelin.ie,primary
19366A,SCARIFF CENTRAL N S,Scariff,Co. Clare,NULL,NULL,Clare,Clare County Council,Liam,Quirke,V94A9W3,52.9161783,-8.5315757,61921481,scariffnationalschool@gmail.com,primary
