,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20),School,Unnamed: 0,FullAddress,Latitude,Longitude
388,70081V,Colaiste Ghleann na hAbhann,Riversdale Community College,Blanchardstown Road North,Dublin 15,,Dublin,Fingal County Council,D15P380,Bernadette MacLoughlin,rcc@ddletb.ie,018201488,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,104.0,148.0,252,"Colaiste Ghleann na hAbhann, Riversdale Community College, Blanchardstown Road North",388,"Blanchardstown Rd N, Blanchardstown, Dublin 15, Ireland",53.4019114,-6.379454
389,70100W,Coláiste Chilliain,Bóthar Nangor,Cluain Dolcáin,Baile Atha Cliath 22,,Dublin,South Dublin County Council,D22EW08,Feargal Ó Giolláin,eolas@colaistechilliain.ie,014574888,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,182.0,233.0,415,"Coláiste Chilliain, Bóthar Nangor, Cluain Dolcáin",389,"22 Nangor Cres, Bawnoges, Clondalkin, Co. Dublin, Ireland",53.3213719,-6.4089829
390,70120F,St Finians Community College,Castlefarm,Swords,Co Dublin,,Dublin,Fingal County Council,K67YN93,Ms. Patricia Knightly,stfinians@ddletb.ie,018402623,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,339.0,308.0,647,"St Finians Community College, Castlefarm, Swords",390,"Castlefarm, Swords, Co. Dublin, Ireland",53.4654457,-6.224143700000001
391,70121H,Fingal Community College,Seatown Road,Swords,Co Dublin,,Dublin,Fingal County Council,K67E330,Mrs Sharon McGrath,smcgrath@fingalcc.ie,018405829,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,402.0,452.0,854,"Fingal Community College, Seatown Road, Swords",391,"Fingal Community College, Seatown Rd, Townparks, Swords, Co. Dublin, Ireland",53.460698,-6.216774
392,70130I,Greenhills College,Limekiln Avenue,Greenhills,Dublin 12,,Dublin,South Dublin County Council,D12DP8W,Ann Bray,admin@greenhillscollege.ie,014507779,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,,137.0,137,"Greenhills College, Limekiln Avenue, Greenhills",392,"Limekiln Ave, Walkinstown, Dublin 12, D12 DP8W, Ireland",53.30722,-6.3351279
393,70140L,Firhouse Community College,Firhouse Road,Dublin 24,,,Dublin,South Dublin County Council,D24HY03,Senan Nolan,firhousecc@ddletb.ie,014525807,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,359.0,450.0,809,"Firhouse Community College, Firhouse Road, Dublin 24",393,"Firhouse Rd, Tallaght, Dublin 24, Ireland",53.2762325,-6.3484937
394,70141N,Mount Seskin Community College,Jobstown,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24K033,Austin Flannery (Oct Rets 2017),belindamelvin@ddletb.ie,014525788,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,157.0,168.0,325,"Mount Seskin Community College, Jobstown, Tallaght",394,"Fortunestown Road, Jobstown, Dublin 24, D24 R267, Ireland",53.2788424,-6.410148299999999
395,70150O,Cabra Community College,Kilkieran Road,Cabra,Dublin 7,,Dublin,Dublin City Council,D07XC84,Mr Neil Flatherty,info@cabracc.cdetb.ie,018389577,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,46.0,85.0,131,"Cabra Community College, Kilkieran Road, Cabra",395,"Kilkieran Rd, Cabra West, Dublin, Ireland",53.3687218,-6.2943072
396,70160R,Clogher Road Community College,Clogher Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,D12YP11,Lesley Byrne,info@stkevins.cdetb.ie,014536397,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,56.0,148.0,204,"Clogher Road Community College, Clogher Road, Crumlin",396,"113 Clogher Rd, Crumlin, Dublin, D12 X8E2, Ireland",53.3265124,-6.293414599999999
397,70180A,Coláiste Eoin,Cappagh Road,Finglas West,Dublin 11,,Dublin,Dublin City Council,D11AY65,Paula O'Brien,info@eoin.cdetb.ie,018341426,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,73.0,107.0,180,"Coláiste Eoin, Cappagh Road, Finglas West",397,"Cappagh Rd, Finglas, Dublin 11, D11 AY65, Ireland",53.3876613,-6.309822400000001
398,70200D,Ringsend College,Cambridge Road,Ringsend,Dublin 4,,Dublin,Dublin City Council,D04N227,Ms Pauline Queally,info@ringsend.cdetb.ie,016684498,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,111.0,78.0,189,"Ringsend College, Cambridge Road, Ringsend",398,"Cambridge Rd, Dublin 4, Ireland",53.3437546,-6.2245095
399,70240P,Kylemore College,Kylemore Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,D10RY73,Ms Deirdre Nolan,info@kylemore.cdetb.ie,016265901,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,130.0,264.0,394,"Kylemore College, Kylemore Road, Ballyfermot",399,"Kylemore Road, Ballyfermot, Dublin 10, Ireland",53.34509749999999,-6.3516238
400,70250S,Marino College,14-20 Marino Mart,Fairview,Dublin 3,,Dublin,Dublin City Council,D03DR72,Mary McAleer,mary.molloy@marino.cdetb.ie,018332100,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,143.0,102.0,245,"Marino College, 14-20 Marino Mart, Fairview",400,"Ballybough, Dublin, Co. Dublin, Ireland",53.3643758,-6.2314903
401,70260V,St Mac Dara's Community College,St. Mac Dara's Community College,Wellington Lane,Templeogue,Dublin 6W,Dublin,South Dublin County Council,D6WEW83,Mr Paul Kingston,stmacdaras@ddletb.ie,014566216,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,376.0,477.0,853,"St Mac Dara's Community College, St. Mac Dara's Community College, Wellington Lane",401,"Wellington Ln, Templeogue, Dublin 6W, Co. Dublin, Ireland",53.2970834,-6.3268266
402,70280E,Rathmines College,Town Hall,Rathmines,Dublin 6,,Dublin,South Dublin County Council,D06A215,Ms Bernadette Moore,info@rc.cdetb.ie,014975334,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,59.0,44.0,103,"Rathmines College, Town Hall, Rathmines",402,"Townhall, Rathmines, Dublin 6, Ireland",53.3240796,-6.2652375
403,70300H,Pearse College - Colaiste an Phiarsaigh,Clogher Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,D12CR22,Patricia O'Keeffe,information@pearse.cdetb.ie,014536661,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,43.0,63.0,106,"Pearse College - Colaiste an Phiarsaigh, Clogher Road, Crumlin",403,"Clogher Rd, Crumlin, Dublin, Ireland",53.3265403,-6.2934106
404,70310K,Plunket College,Swords Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,D09C94K,Adrian Delaney,info@plunket.cdetb.ie,018371689,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,43.0,40.0,83,"Plunket College, Swords Road, Whitehall",404,"Swords Rd, Whitehall, Dublin 9, D09 C94K, Ireland",53.3794304,-6.248254699999999
405,70321P,Margaret Aylward Community College,The Thatch Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,D09RHN3,Sinéad Dunne,info@macc.cdetb.ie,018375712,Y,N,N,N,Day,Girls,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,146.0,,146,"Margaret Aylward Community College, The Thatch Road, Whitehall",405,"The Thatch Rd, Whitehall, Dublin 9, Ireland",53.3838442,-6.2400965
406,70330Q,Coláiste Dhúlaigh,Barryscourt Road,Coolock,Dublin 17,,Dublin,Dublin City Council,D17KH66,Mr Neil Dunphy,info@cdc.cdetb.ie,018481337,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,74.0,81.0,155,"Coláiste Dhúlaigh, Barryscourt Road, Coolock",406,"17 Barryscourt Rd, Coolock, Dublin 17, Ireland",53.3966321,-6.211757
407,70350W,St Bricin's College,Belturbet,Co Cavan,,,Cavan,Cavan County Council,H14P896,Mary Sheridan,info@stbricinscollege.ie,0499522170,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,82.0,102.0,184,"St Bricin's College, Belturbet, Co Cavan",407,"Saint Bricin's College, Railway Rd, Corporation Lands, Belturbet, Co. Cavan, Ireland",54.099416,-7.4434722
408,70360C,St. Mogue's College,Bawnboy,Co Cavan,,,Cavan,Cavan County Council,H14VW13,Ann Conaghan,info@stmoguescollege.ie,0499523112,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,99.0,131.0,230,"St. Mogue's College, Bawnboy, Co Cavan",408,"Bawnboy, Co. Cavan, Ireland",54.122559,-7.677543699999998
409,70380I,Breifne College,Cootehill Rd,Cavan,Co Cavan,,Cavan,Cavan County Council,H12H798,Mr John Crotty,info@breifnecollege.ie,0494331735,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,379.0,355.0,734,"Breifne College, Cootehill Rd, Cavan",409,"12 Cootehill Rd, Curragho, Co. Cavan, H12 PX51, Ireland",54.0095501,-7.346259400000001
410,70390L,Virginia College,Virginia,Co Cavan,,,Cavan,Cavan County Council,A82X224,Karen Fitzpatrick,info@virginiacollege.ie,0498547050,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,323.0,394.0,717,"Virginia College, Virginia, Co Cavan",410,"Virginia, Rahardrum, Virginia, Co. Cavan, Ireland",53.8317736,-7.0845831
411,70400L,Borris Vocational School,Borris,Co Carlow,,,Carlow,Carlow County Council,R95Y778,Mr John O'Sullivan,bvsoffice@gmail.com,0599773155,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,265.0,267.0,532,"Borris Vocational School, Borris, Co Carlow",411,"Borris, Knocknagundarragh, Borris, Co. Carlow, Ireland",52.5972716,-6.9178413
412,70410O,Coláiste Eoin,Hacketstown,Co Carlow,,,Carlow,Carlow County Council,R93CY86,Pauline Egan,info@ceh.ie,0596471198,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,103.0,124.0,227,"Coláiste Eoin, Hacketstown, Co Carlow",412,"Hacketstown Upper, Co. Carlow, Ireland",52.8611781,-6.5530601
413,70420R,Tyndall College,Mortarstown,Kilkenny Road,Co. Carlow,,Carlow,Carlow County Council,R93N5V2,Gerry McGill,gerry.mcgill@kilkennycarlowetb.ie,871146087,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,236.0,299.0,535,"Tyndall College, Mortarstown, Kilkenny Road",413,"Kilkenny Rd, Mortarstown Upper, Carlow, Ireland",52.8185242,-6.9446829
414,70430U,Coláiste Aindriú,Muine Bheag,Co Carlow,,,Carlow,Carlow County Council,R21EH27,Mr. James Dermody,info@colaisteaindriu.ie,0599721335,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,38.0,50.0,88,"Coláiste Aindriú, Muine Bheag, Co Carlow",414,"Kilcarrig, Bagenalstown, Co. Carlow, Ireland",52.7021103,-6.9506057
415,70440A,Gaelcholáiste Cheatharlach,Easca,Ceatharlach,,,Carlow,Carlow County Council,R93HY89,Madailín Mhic Lochlainn,eolas@gcc-cw.ie,0599132130,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,186.0,180.0,366,"Gaelcholáiste Cheatharlach, Easca, Ceatharlach",415,"Gaelcholáiste Ceatharlach, Askea, Carlow, Ireland",52.8368409,-6.910886499999999
416,70450D,Killarney Community College,New Road,Killarney,Co Kerry,V93NA48,Kerry,Kerry County Council,V93NA48,Stella Loughnane,admin@killarneycc.ie,0646632164,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,181.0,190.0,371,"Killarney Community College, New Road, Killarney",416,"New Rd, Inch, Killarney, Co. Kerry, Ireland",52.06248979999999,-9.5195383
417,70460G,Community College Killorglin,Killorglin,Co Kerry,,,Kerry,Kerry County Council,V93PY05,Mr Con Moynihan,info@killorglincc.ie,0669761168,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,139.0,168.0,307,"Community College Killorglin, Killorglin, Co Kerry",417,"Community College Killorglin, Langford St, Ardmoneel, Killorglin, Co. Kerry, Ireland",52.0999548,-9.7841122
418,70500P,Coláiste na Ríochta,"Upper Church St.,",Listowel,Co. Kerry,,Kerry,Kerry County Council,V31WD34,Stephen Goulding,info@colaistenariochta.ie,06821023,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,33.0,52.0,85,"Coláiste na Ríochta, Upper Church St.,, Listowel",418,"Upper Church St, Ballygowloge, Listowel, Co. Kerry, Ireland",52.44837930000001,-9.4791246
419,70520V,Castleisland Community College,Tonbwee,Castleisland,Co.Kerry,,Kerry,Kerry County Council,V92P528,Carmel Kelly,info@castleislandcc.com,0667141196,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,128.0,123.0,251,"Castleisland Community College, Tonbwee, Castleisland",419,"Tonbwee, Castleisland, Co. Kerry, Ireland",52.2272523,-9.456630299999999
420,70540E,Causeway Comprehensive School,Causeway,Tralee,Co Kerry,,Kerry,Kerry County Council,V92EP46,Mr Cathal Fitzgerald,admin@causewaycs.ie,0667131197,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,219.0,261.0,480,"Causeway Comprehensive School, Causeway, Tralee",420,"1 Tóchar View, Dromkeen West, Causeway, Co. Kerry, V92 EP46, Ireland",52.4118438,-9.7360539
421,70550H,Coláiste Gleann Lí Post Primary School,Clash Road,Tralee,,,Kerry,Kerry County Council,V92XR81,Mr. Richard Lawlor,office@gleannli.ie,0667122552,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,94.0,123.0,217,"Coláiste Gleann Lí Post Primary School, Clash Road, Tralee",421,"Clash Road, Clash West, Tralee, Co. Kerry, Ireland",52.2724915,-9.6865223
422,70560K,Gaelcholáiste Chiarraí,Tobar Mhaigh Dor,Trá Lí,Co Chiarraí,,Kerry,Kerry County Council,V92N763,Ruairí Ó Cinnéide,eolas@gcchiarrai.ie,0667121650,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,186.0,164.0,350,"Gaelcholáiste Chiarraí, Tobar Mhaigh Dor, Trá Lí",422,"Cloon Beg, Tralee, Co. Kerry, Ireland",52.2667396,-9.6989362
423,70570N,Scoil Aireagail,Ballyhale,Co. Kilkenny,,,Kilkenny,Kilkenny County Council,R95AH30,Liam O' Brien,scoilaireagail@eircom.net,0567768632,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,79.0,118.0,197,"Scoil Aireagail, Ballyhale, Co. Kilkenny",423,"Ballyhale, Knocktopher Manor, Ballyhale, Co. Kilkenny, Ireland",52.478758,-7.212555900000001
424,70590T,Duiske College,Graignamanagh,Co Kilkenny,,,Kilkenny,Kilkenny County Council,R95RR94,Mr. Pat Murphy,info@duiskecollege.ie,0599724177,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,72.0,77.0,149,"Duiske College, Graignamanagh, Co Kilkenny",424,"High St, Brandondale, Graiguenamanagh, Co. Kilkenny, Ireland",52.5400938,-6.9573525
425,70600T,Coláiste Mhuire,Johnstown,Co Kilkenny,,,Kilkenny,Kilkenny County Council,E41H978,Martin Gleeson,info@colaistemhuirekk.ie,0568831135,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,257.0,336.0,593,"Coláiste Mhuire, Johnstown, Co Kilkenny",425,"Urlingford Rd, Glebe, Johnstown, Co. Kilkenny, Ireland",52.7443664,-7.5596697
426,70610W,City Vocational School,"New Street,",Kilkenny,,,Kilkenny,Kilkenny County Council,R95HW74,Cathy McSorley,info@kcvs.ie,0567722108,Y,N,N,N,Day,Mixed,Some pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,104.0,126.0,230,"City Vocational School, New Street,, Kilkenny",426,"Lower New St, Kilkenny, Ireland",52.6478498,-7.254449799999999
427,70620C,Coláiste Cois Siúire,Mooncoin,Co Kilkenny,,,Kilkenny,Kilkenny County Council,X91Y168,Paul Duggan,info@colaistecoissiuire.ie,051895112,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,48.0,82.0,130,"Coláiste Cois Siúire, Mooncoin, Co Kilkenny",427,"Filbuckstown, Mooncoin, Co. Kilkenny, X91 Y168, Ireland",52.2903323,-7.246716800000001
428,70640I,Grennan College,Ladywell St,Thomastown,Co Kilkenny,,Kilkenny,Kilkenny County Council,R95T959,Sean Og O'Sullivan,info@grennancollege.ie,0567724112,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,140.0,174.0,314,"Grennan College, Ladywell St, Thomastown",428,"Lady's Well St, Thomastown, Co. Kilkenny, Ireland",52.5284997,-7.1433941
429,70641K,Coláiste Pobail Osraí,Bóthar Urmhumhan,Cill Chainnigh,,,Kilkenny,Kilkenny County Council,R95X510,Cathnia ó Muircheartaigh,oifig@osrai.ie,0567764557,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,INTER DENOMINATIONAL,93.0,107.0,200,"Coláiste Pobail Osraí, Bóthar Urmhumhan, Cill Chainnigh",429,"6-7 Ormonde Rd, Kilkenny, Co. Kilkenny, Ireland",52.648616,-7.251819999999999
430,70650L,Athy Community College,Tomard,Athy,Co Kildare,,Kildare,Kildare County Council,R14KT50,Richard Daly,mail@athycollege.ie,0598631795,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,206.0,222.0,428,"Athy Community College, Tomard, Athy",430,"Rathstewart, Athy, Co. Kildare, R14 KT50, Ireland",53.001559,-6.986398299999999
431,70660O,Curragh Post-Primary School,McSwiney Road,Curragh,Co Kildare,,Kildare,Kildare County Council,R56FW68,Nessa Doyle,nessadoyle@kwetb.ie,045441809,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,57.0,79.0,136,"Curragh Post-Primary School, McSwiney Road, Curragh",431,"McSwiney Road, Curragh, Co. Kildare, Ireland",53.1473624,-6.8323535
432,70670R,Colaiste Lorcain,Castledermot,Co. Kildare,,,Kildare,Kildare County Council,R14X620,Eric Gaughran,info@colaistelorcain.com,0599144167,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,192.0,213.0,405,"Colaiste Lorcain, Castledermot, Co. Kildare",432,"Castledermot, Mullarney, Athy, Co. Kildare, Ireland",52.90921909999999,-6.8388259
433,70680U,St Conleth's Community College,Station Road,Newbridge,Co Kildare,,Kildare,Kildare County Council,W12C432,Patricia O'Brien,stconlethscc@eircom.net,045431417,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,314.0,234.0,548,"St Conleth's Community College, Station Road, Newbridge",433,"Station Rd, Piercetown, Newbridge, Co. Kildare, Ireland",53.1828618,-6.8019049
434,70691C,Confey Community College,Confey,Leixlip,Co Kildare,,Kildare,Kildare County Council,W23VH66,Mike O Byrne,info@confeycollege.org,016245322,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,324.0,439.0,763,"Confey Community College, Confey, Leixlip",434,"River Forest, Newtown, Leixlip, Co. Kildare, Ireland",53.3728402,-6.4983019
435,70700A,Maynooth Post Primary School,Moyglare Rd,Maynooth,Co Kildare,,Kildare,Kildare County Council,W23HC66,Mr. Johnny Nevin,principal@mpps.ie,016286060,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,468.0,499.0,967,"Maynooth Post Primary School, Moyglare Rd, Maynooth",435,"Maynooth, Co. Kildare, Ireland",53.3847093,-6.5957705
436,70710D,Piper's Hill College,Killashee,Naas,Co. Kildare,,Kildare,Kildare County Council,W91RW14,Mr Colm O'Connor,info@phcol.ie,045897885,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,468.0,467.0,935,"Piper's Hill College, Killashee, Naas",436,"Killashee, Piper's Hill Campus, Naas, Co. Kildare, Ireland",53.1954453,-6.669875999999999
437,70720G,St Farnan's Post Primary School,Prosperous,Co. Kildare,,,Kildare,Kildare County Council,W91W520,Mr Eddie J Collins,principal@stfarnans.ie,045868152,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,226.0,224.0,450,"St Farnan's Post Primary School, Prosperous, Co. Kildare",437,"Curryhills, Prosperous, Co. Kildare, Ireland",53.28669559999999,-6.7516438
438,70730J,Ardscoil Rath Iomgháin,Rathangan,Co Kildare,,,Kildare,Kildare County Council,R51DA36,Mr Paul Murphy,admin@ardscoilrathangan.ie,045528196,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,356.0,337.0,693,"Ardscoil Rath Iomgháin, Rathangan, Co Kildare",438,"Rathangan, Rathangan Demesne, Rathangan, Co. Kildare, Ireland",53.2183382,-6.9941143
439,70740M,Glenart College,Coolgreaney Rd,Arklow,Co Wicklow,,Wicklow,Wicklow County Council,Y14YR52,Ms. Louise Kearns,glenartcollege@kwetb.ie,040232149,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,173.0,243.0,416,"Glenart College, Coolgreaney Rd, Arklow",439,"Coolgreaney Rd, Sheephouse, Arklow, Co. Wicklow, Ireland",52.7964072,-6.1729309
440,70750P,Scoil Chonglais,Baltinglass,Co Wicklow,,,Wicklow,Wicklow County Council,W91H5XC,Ms Patricia Gurhy,info@scoilchonglais.ie,0596481449,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,266.0,233.0,499,"Scoil Chonglais, Baltinglass, Co Wicklow",440,"Carsrock, Baltinglass, Co. Wicklow, Ireland",52.9378838,-6.7013089
441,70760S,Blessington Community College,Naas Rd,Blessington,Co Wicklow,,Wicklow,Wicklow County Council,W91RD30,Mr Kieran Burke,blessingtoncc@kwetb.ie,045865170,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,245.0,266.0,511,"Blessington Community College, Naas Rd, Blessington",441,"Naas Rd, Blessington, Co. Wicklow, Ireland",53.1695369,-6.5391134
442,70770V,St Thomas' Community College,Novara Avenue,Bray,Co. Wicklow,,Wicklow,Wicklow County Council,A98ND89,Mr Raymond Tedders,bifeenquiries@kwetb.ie,012829668,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,7.0,9.0,16,"St Thomas' Community College, Novara Avenue, Bray",442,"Novara Ave, Bray, Co. Wicklow, Ireland",53.2007951,-6.106713999999999
443,70790E,Coláiste Bhríde Carnew,Carnew,Arklow,Co Wicklow,,Wicklow,Wicklow County Council,Y14WA00,Linda Dunne,cbcarnew@kwetb.ie,0539426318,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,433.0,438.0,871,"Coláiste Bhríde Carnew, Carnew, Arklow",443,"Main St, Carnew, Co. Wicklow, Ireland",52.710198,-6.502342
444,70800E,St Kevin's Community College,Dunlavin,Co Wicklow,,,Wicklow,Wicklow County Council,W91R971,Brian Doran,stkevinscc@kwetb.ie,045406000,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,333.0,296.0,629,"St Kevin's Community College, Dunlavin, Co Wicklow",444,"Saint Kevin's Community College, Pound Rd, Dunlavin Upper, Dunlavin, Co. Wicklow, Ireland",53.0543708,-6.6967596
445,70810H,Avondale Community College,Rathdrum,Co Wicklow,,,Wicklow,Wicklow County Council,A67RR26,Rosaleen O'Neill,AvondaleCC@kwetb.ie,040446445,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,230.0,305.0,535,"Avondale Community College, Rathdrum, Co Wicklow",445,"Rathdrum, Co. Wicklow, Ireland",52.9343558,-6.236100800000001
446,70821M,Coláiste Raithín,Bóthar Bhaile Átha Cliath,Bré,Co Chill Mhantain,,Wicklow,Wicklow County Council,,Traolach Ó Maolchathaigh,colaisteraithin@kwetb.ie,012865180,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,146.0,148.0,294,"Coláiste Raithín, Bóthar Bhaile Átha Cliath, Bré",446,"Bóthar Bhaile Átha Cliath, Ravenswell, Bré, Co. Chill Mhantáin, A98 X3A3, Ireland",53.2096484,-6.109433
447,70830N,Ennis Community College,Harmony Row,Ennis,Co Clare,,Clare,Clare County Council,V95XD66,Brian O Sullivan,info@enniscc.ie,0656829432,Y,N,N,N,Day,Mixed,Some pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,188.0,275.0,463,"Ennis Community College, Harmony Row, Ennis",447,"Harmony Row, Lifford, Ennis, Co. Clare, Ireland",52.84702069999999,-8.9878814
448,70840Q,Ennistymon Vocational School,Ennistymon,Ennis,Co Clare,,Clare,Clare County Council,V95P991,Elizabeth Flanagan,envoc.ias@eircom.net,0657071375,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,99.0,147.0,246,"Ennistymon Vocational School, Ennistymon, Ennis",448,"Ennistimon, Co. Clare, V95 P991, Ireland",52.94012069999999,-9.294971499999999
449,70860W,St Michael's Community College,Kilmihil,Co Clare,,,Clare,Clare County Council,V15TD30,Ms Helena Keane,stmichaels@kilmihilcc.com,0659050021,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,140.0,104.0,244,"St Michael's Community College, Kilmihil, Co Clare",449,"Saint Michael's Community College, Newtown, Kilmihil, Co. Clare, Ireland",52.7248033,-9.3211622
450,70880F,St Joseph's Community College,Carrigaholt Road,Kilkee,Co. Clare,,Clare,Clare County Council,V15EK83,Ms Theresa O'Donnellan,kilkeecommunitycollege@lcetb.ie,0659056446,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,INTER DENOMINATIONAL,65.0,80.0,145,"St Joseph's Community College, Carrigaholt Road, Kilkee",450,"7 Church Rd, Dough, Kilkee, Co. Clare, Ireland",52.6744206,-9.6502933
451,70900I,Scariff Community College,Scariff Community College,Drewsborough,Scariff,Co Clare,Clare,Clare County Council,V94Y9W2,Ms Angela McNamara,scc@lcetb.ie,061921083,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,211.0,218.0,429,"Scariff Community College, Scariff Community College, Drewsborough",451,"Drewsborough, Scarriff, Co. Clare, V94 Y9W2, Ireland",52.9027336,-8.5359141
