,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,School,FullAddress,Latitude,Longitude
1475,17560J,S N SEOSAMH NAOMTHA,Dunderry,Navan,Co. Meath,,Meath,Meath County Council,469431976,Maeve Stynes,dunderryns@gmail.com,C15HH63,N,N,N,No subjects through Irish,Catholic,66.0,51.0,117,"S N SEOSAMH NAOMTHA, Dunderry, Navan","Navan, Co. Meath, Ireland",53.647092,-6.6966605
1476,17561L,SAMHTHANN N S,Ballinalee,Co. Longford,,,Longford,Longford County Council,433323333,Linda Hughes,scoilsamhthannballinalee@gmail.com,N39HY57,N,N,N,No subjects through Irish,Catholic,72.0,77.0,149,"SAMHTHANN N S, Ballinalee, Co. Longford","School Land, Ballinalee, Co. Longford, Ireland",53.77554629999999,-7.647881
1477,17562N,St Paul's National School,ISLANDEADY,CASTLEBAR,CO MAYO,,Mayo,Mayo County Council,949024630,MS Donna Cafferkey,stpaulsns@hotmail.com,F23HX85,N,Y,N,No subjects through Irish,Catholic,40.0,37.0,77,"St Paul's National School, ISLANDEADY, CASTLEBAR","Saint Paul's National School, Claggarnagh West, Castlebar, Co. Mayo, Ireland",53.8186007,-9.386675499999999
1478,17563P,OGONNELLOE NATIONAL SCHOOL,OGONNELLOE,SCARIFF,CO CLARE,,Clare,Clare County Council,61923144,MARIE ROBERTS,office@ogonnelloens.com,V94N599,N,N,N,No subjects through Irish,Catholic,52.0,61.0,113,"OGONNELLOE NATIONAL SCHOOL, OGONNELLOE, SCARIFF","Ogonnelloe, Tuamgraney, Ballybran, Scarriff, Co. Clare, Ireland",52.8722206,-8.4583762
1479,17564R,S N AN CHOIMIN,An Gharbháin,An Clochán,Co. Dhún na nGall,,Donegal,Donegal County Council,749133330,Máire Ní Ghallchóir,oifig@coimin.com,F93CF67,Y,Y,N,All subjects through Irish,Catholic,35.0,42.0,77,"S N AN CHOIMIN, An Gharbháin, An Clochán","Drom West, Cloghane, Co. Kerry, Ireland",52.2304787,-10.1824514
1480,17566V,S N BHRIDHE,Kells,Co. Kilkenny,,,Kilkenny,Kilkenny County Council,567728476,Irene Browne,stbrigidsns2@gmail.com,R95WK84,N,N,N,No subjects through Irish,Catholic,6.0,11.0,17,"S N BHRIDHE, Kells, Co. Kilkenny","Kells, Kellsborough, Kells, Co. Kilkenny, Ireland",52.5395316,-7.2731536
1481,17567A,ALMHAINE N S,Kilmeague,Naas,Co. Kildare,,Kildare,Kildare County Council,45860043,Perpetua McDonagh,allen.nationalschool@gmail.com,W91AX99,N,N,N,No subjects through Irish,Catholic,108.0,117.0,225,"ALMHAINE N S, Kilmeague, Naas","Naas, Co. Kildare, Ireland",53.2205654,-6.659307999999999
1482,17569E,BLESSED OLIVER N S,Balrothery,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,18411494,Mairéad Murphy,office@balrotheryns.com,K32WR94,N,N,N,No subjects through Irish,Catholic,157.0,171.0,328,"BLESSED OLIVER N S, Balrothery, Balbriggan","11 Coach Rd Manor, Balrothery, Co. Dublin, Ireland",53.5894625,-6.187374
1483,17570M,S N NA BHFIODH,Fews,Kilmacthomas,Co. Waterford,,Waterford,Waterford County Council,51294723,Aoife Diver,fewsns@gmail.com,X42X968,N,N,N,No subjects through Irish,Catholic,35.0,39.0,74,"S N NA BHFIODH, Fews, Kilmacthomas","Kilmacthomas, Co. Waterford, Ireland",52.2054897,-7.426765199999999
1484,17571O,Dangan NS,Dangan,Kilmore,Carrick-on-Shannon,Co. Roscommon,Roscommon,Roscommon County Council,719637003,Clare Caslin,dangankilmore48@gmail.com,N41RC79,N,N,N,No subjects through Irish,Catholic,31.0,51.0,82,"Dangan NS, Dangan, Kilmore","Dangan, Summerhill Enterprise Centre, Co. Meath, Ireland",53.4900692,-6.743178400000001
1485,17574U,S N NAOMH CIARAIN,Cill Chiaráin,Conamara,Co. na Gaillimhe,,Galway,Galway County Council,9533613,Éabha Ní Chualáin,scoilnaomhciaran@gmail.com,H91T650,Y,Y,N,All subjects through Irish,Catholic,17.0,9.0,26,"S N NAOMH CIARAIN, Cill Chiaráin, Conamara","Kilkieran, Conamara, Co. Galway, H91 T65O, Ireland",53.3280544,-9.7333407
1486,17575W,S N GLEANN COIMHEAD,BALLYBOFEY,CO DONEGAL,,,Donegal,Donegal County Council,749132785,MARTINA IMELDA MALLON,glencovittns@gmail.com,F93XF59,N,N,N,No subjects through Irish,Catholic,46.0,41.0,87,"S N GLEANN COIMHEAD, BALLYBOFEY, CO DONEGAL","Ballybofey, Co. Donegal, Ireland",54.7968244,-7.787548099999999
1487,17576B,SCOIL AN CHOROIN MHUIRE,Dominican Campus,Wicklow,Co. Wicklow,,Wicklow,Wicklow County Council,40467939,Fiona Wickham,secretary@holyrosaryschool.ie,A67P680,N,N,N,No subjects through Irish,Catholic,288.0,173.0,461,"SCOIL AN CHOROIN MHUIRE, Dominican Campus, Wicklow","The Dominican College, Convent Rd, Corporation Lands, Wicklow, Ireland",52.9776192,-6.0388057
1488,17579H,S N ATH FHADA,Aghada,Midleton,Co. Cork,,Cork,Cork County Council,214661549,Lawrence Collins,info@aghadans.ie,P25X922,N,N,N,No subjects through Irish,Catholic,184.0,155.0,339,"S N ATH FHADA, Aghada, Midleton","Midleton, Co. Cork, Ireland",51.9143321,-8.1726276
1489,17580P,S N GORT NA HUAIGHE,Gortnahoe,Thurles,Co. Tipperary,,Tipperary,Tipperary (Sr) County Council,568834390,David O'Dwyer,info@gortnahoens.ie,E41F857,N,N,N,No subjects through Irish,Catholic,62.0,70.0,132,"S N GORT NA HUAIGHE, Gortnahoe, Thurles","Thurles, Co. Tipperary, Ireland",52.6801064,-7.8044421
1490,17583V,S N CNOC AN EIN,Knockanean,Ennis,Co. Clare,,Clare,Clare County Council,656840088,Jim Curran,cnocanein@gmail.com,V95FW42,N,N,N,No subjects through Irish,Catholic,146.0,140.0,286,"S N CNOC AN EIN, Knockanean, Ennis","Knockanean, Co. Clare, Ireland",52.8554004,-8.9428989
1491,17585C,S N BEAL CARADH,BELCARRA,CASTLEBAR,CO MAYO,,Mayo,Mayo County Council,949032210,Maureen Goggins,belcarrans@outlook.com,F23ET38,N,N,N,No subjects through Irish,Catholic,58.0,71.0,129,"S N BEAL CARADH, BELCARRA, CASTLEBAR","Castlebar, Co. Mayo, Ireland",53.8550014,-9.287925699999999
1492,17589K,S N CHIARAN NAOFA,STONEYFORD,CO KILKENNY,,,Kilkenny,Kilkenny County Council,567728393,Kieran Byrne,snathastuin@eircom.net,R95XR65,N,N,N,No subjects through Irish,Catholic,55.0,55.0,110,"S N CHIARAN NAOFA, STONEYFORD, CO KILKENNY","Ballycoam, Co. Kilkenny, Ireland",52.5342744,-7.222558299999999
1493,17590S,S N MOIN RUADH MIXED,KNOCKTOPHER,CO KILKENNY,,,Kilkenny,Kilkenny County Council,567768931,MISS EILIS HOLDEN,snmoinruadh.ias@eircom.net,R95FY06,N,N,N,No subjects through Irish,Catholic,33.0,23.0,56,"S N MOIN RUADH MIXED, KNOCKTOPHER, CO KILKENNY","Common, Knocktopher, Co. Kilkenny, Ireland",52.4831815,-7.214719499999999
1494,17593B,SCOIL NAOMH MHUIRE,Caherlevoy,Mountcollins,Abbeyfeale,Co. Limerick,Limerick,Limerick County Council,6844470,Mairéad Lane,mountcollinsnationalschool@gmail.com,V94K036,N,Y,N,No subjects through Irish,Catholic,8.0,9.0,17,"SCOIL NAOMH MHUIRE, Caherlevoy, Mountcollins","Mountcollins National School, Caherlevoy, Abbeyfeale, Co. Limerick, Ireland",52.3218907,-9.2079379
1495,17595F,CILL COSCAIN,Kilcoscan,The Ward,Co. Dublin,,Dublin,Fingal County Council,18351508,Paddy Christie,kilcoskanprincipal@gmail.com,D11PW92,N,N,N,No subjects through Irish,Catholic,55.0,65.0,120,"CILL COSCAIN, Kilcoscan, The Ward","Kilcoskan, The Ward, Co. Dublin, Ireland",53.46380569999999,-6.34472
1496,17598L,SN AN LEINBH IOSA,Carrigans,Lifford,Co. Donegal,,Donegal,Donegal County Council,749140267,John O'Donnell,info@carrigansns.com,F93K662,N,Y,N,No subjects through Irish,Catholic,39.0,36.0,75,"SN AN LEINBH IOSA, Carrigans, Lifford","1 Brookdale Manor, Tonagh, Carrigans, Co. Donegal, Ireland",54.9532775,-7.443753999999999
1497,17599N,S N BAILE AN LUIG,BEAL TRA,SLIGEACH,,,Sligo,Sligo County Council,719166883,Mr Patrick Patten,ballinligns@gmail.com,F91VK52,N,N,N,No subjects through Irish,Catholic,9.0,12.0,21,"S N BAILE AN LUIG, BEAL TRA, SLIGEACH","Tanrego East, Beltra, Co. Sligo, Ireland",54.2218763,-8.624828
1498,17600S,S N NA SCAIRTE LEITHE,Saleen,Midleton,Co. Cork,,Cork,Cork County Council,214652094,Denise O'Donovan,secretary@scartleigh.com,P25K286,N,N,N,No subjects through Irish,Catholic,209.0,249.0,458,"S N NA SCAIRTE LEITHE, Saleen, Midleton","Midleton, Co. Cork, Ireland",51.9143321,-8.1726276
1499,17601U,S N DOIRE NA CEISE,Maudabawn,Cootehill,Co. Cavan,,Cavan,Cavan County Council,495552220,Peter Foster,info@dernakeshns.ie,H16KP86,N,N,N,No subjects through Irish,Catholic,72.0,72.0,144,"S N DOIRE NA CEISE, Maudabawn, Cootehill","Maudabawn, Drumaveil North, Cootehill, Co. Cavan, Ireland",54.0728302,-7.0830598
1500,17602W,S N NAOMH LACHTIN,DOMHNACH MOR,CO CHORCAI,,,Cork,Cork County Council,217337248,DEIRDRE MAIRE MCCARTHY,stlaichtin.ias@eircom.net,P32PW68,N,N,N,No subjects through Irish,Catholic,81.0,94.0,175,"S N NAOMH LACHTIN, DOMHNACH MOR, CO CHORCAI","Saint Lacteen's National School, Ballykerwick, Donoughmore, Co. Cork, Ireland",51.9920626,-8.7526304
1501,17603B,SCOIL IOSAGAIN BOYS SENIOR,Aughavannagh Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,14541821,Aoife Wrynne,principalscoiliosagain@gmail.com,D12W522,N,Y,N,No subjects through Irish,Catholic,,68.0,68,"SCOIL IOSAGAIN BOYS SENIOR, Aughavannagh Road, Crumlin","Aughavannagh Rd, Crumlin, Drimnagh, Dublin 12, Ireland",53.3302878,-6.2879901
1502,17604D,RAITHIN AN UISCE N S,Ratheniska,Stradbally,Co. Laois,,Laois,Laois County Council,578625148,Pauline Dunne,ratheniskans@eircom.net,R32HW50,N,N,N,No subjects through Irish,Catholic,95.0,124.0,219,"RAITHIN AN UISCE N S, Ratheniska, Stradbally","Raheenanisky, Ratheniska, Co. Laois, Ireland",53.00521,-7.21271
1503,17606H,NAOMH MICHEAL N S,Castletown-Finea,Mullingar,Co. Westmeath,,Westmeath,Westmeath County Council,436681382,Caroline Butler,stmichaelsnscastletown@gmail.com,N91FN29,N,Y,N,No subjects through Irish,Catholic,10.0,11.0,21,"NAOMH MICHEAL N S, Castletown-Finea, Mullingar","Castletown, Finea, Castletown Upper, Mullingar, Co. Westmeath, Ireland",53.7539673,-7.332572000000001
1504,17607J,S N SEISEADH UI NEILL,Sessiaghoneill,Ballybofey,Co. Donegal,,Donegal,Donegal County Council,749132396,Anne Marie Griffin,principal@sessiaghoneillns.com,F93AE24,N,N,N,No subjects through Irish,Catholic,84.0,93.0,177,"S N SEISEADH UI NEILL, Sessiaghoneill, Ballybofey","Ballybofey, Co. Donegal, Ireland",54.7967688,-7.791777299999999
1505,17608L,S N LUA NAOFA,Lorrha,Nenagh,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,909747295,Olive O'Meara,luanaofa@eircom.net,E45AH95,N,N,N,No subjects through Irish,Catholic,13.0,16.0,29,"S N LUA NAOFA, Lorrha, Nenagh","Lorrha, Nenagh, Co. Tipperary, Ireland",53.0888481,-8.1151056
1506,17609N,RATHCORMAC N S,Rathcormac,Fermoy,Co. Cork,,Cork,Cork County Council,2536616,Margaret Howard,principal@sbrathcormac.ie,P61ER24,N,N,N,No subjects through Irish,Catholic,212.0,229.0,441,"RATHCORMAC N S, Rathcormac, Fermoy","Rathcormac, Rathcormack, Fermoy, Co. Cork, Ireland",52.0776583,-8.2846247
1507,17610V,S N BAILE FADA,Ballyfad,Gorey,Co. Wexford,,Wexford,Wexford County Council,40237799,Anne Ryan,ballyfadns@gmail.com,Y25E376,N,N,N,No subjects through Irish,Catholic,2.0,7.0,9,"S N BAILE FADA, Ballyfad, Gorey","Oulart, Ballyfad, Co. Wexford, Ireland",52.7676604,-6.268040699999999
1508,17612C,ST GARVANS NS,Carrowreigh,Taghmon,Co. Wexford,,Wexford,Wexford County Council,539134294,James Dempsey,secretary@stgarvansns.ie,Y35E773,N,N,N,No subjects through Irish,Catholic,58.0,50.0,108,"ST GARVANS NS, Carrowreigh, Taghmon","Carrowreagh, Co. Wexford, Ireland",52.35145439999999,-6.686246199999999
1509,17613E,S N CAITRIONA NAOFA,EACHDRUIM,Ballinasloe,Co Galway,,Galway,Galway County Council,909673635,Mr Gary Shine,aughrimprimary@gmail.com,H53X266,N,N,N,No subjects through Irish,Catholic,36.0,57.0,93,"S N CAITRIONA NAOFA, EACHDRUIM, Ballinasloe","Ballinasloe, Co. Galway, Ireland",53.3287621,-8.2269467
1510,17615I,SN NAOMH PROINNSIAS,Kilroe,Ower,Headford,Co. Mayo,Mayo,Mayo County Council,9335231,Eilish Mc Donagh,kilroeschool@gmail.com,H91F6D8,N,N,N,No subjects through Irish,Catholic,9.0,26.0,35,"SN NAOMH PROINNSIAS, Kilroe, Ower",.,.,.
1511,17616K,NAOMH MHUIRE N S,Walsh Island,Geashill,Co Offaly,,Offaly,Offaly County Council,578649686,Colette Hyland,wislandns.ias@eircom.net,R35T653,N,N,N,No subjects through Irish,Catholic,44.0,44.0,88,"NAOMH MHUIRE N S, Walsh Island, Geashill","Walsh Island, Geashill, Co. Offaly, Ireland",53.2326925,-7.221598299999999
1512,17617M,SCOIL CHOMHGAIN NAOFA,Killeshin,Carlow,Co. Laois,,Laois,Laois County Council,599147852,Conor Denieffe,killeshinns@eircom.net,R93XF53,N,N,N,No subjects through Irish,Catholic,204.0,194.0,398,"SCOIL CHOMHGAIN NAOFA, Killeshin, Carlow","Scoil Chomhgain Naofa, Killeshin, Carlow, Co. Laois, Ireland",52.84925519999999,-6.9937162
1513,17622F,S N LASAIR NAOFA,Greaghnafarna,Arigna,Carrick on Shannon,Co. Roscommon,Roscommon,Roscommon County Council,719646227,Caitriona McKeon,greaghnafarna@gmail.com,N41FX64,N,Y,N,No subjects through Irish,Catholic,5.0,13.0,18,"S N LASAIR NAOFA, Greaghnafarna, Arigna","6780 E Hampden Ave, Denver, CO 80224, USA",39.6527442,-104.910057
1514,17623H,O'GROWNEY NATIONAL SCHOOL,Town Parks,Athboy,Co. Meath,,Meath,Meath County Council,469432291,John Brennan,office@ogrowneyns.ie,C15W2VN,N,N,N,No subjects through Irish,Catholic,183.0,175.0,358,"O'GROWNEY NATIONAL SCHOOL, Town Parks, Athboy","Athboy, Town Parks, Athboy, Co. Meath, Ireland",53.6206416,-6.9243204
1515,17625L,CNOC AN TEAMPAILL,Knocktemple,Virginia,Co. Cavan,,Cavan,Cavan County Council,498547081,Ruth White Lynch,knocktempleschool@gmail.com,A82PF98,N,N,N,No subjects through Irish,Catholic,47.0,86.0,133,"CNOC AN TEAMPAILL, Knocktemple, Virginia","Knockatemple, Virginia, Co. Cavan, A82 PF98, Ireland",53.8035639,-7.088477600000001
1516,17628R,S N NAOMH PADRAIG MXD,BAILE HAOL,CO KILKENNY,,,Kilkenny,Kilkenny County Council,567768915,Tomás O Dowd,scoil@ballyhale.com,R95EK00,N,N,N,No subjects through Irish,Catholic,84.0,94.0,178,"S N NAOMH PADRAIG MXD, BAILE HAOL, CO KILKENNY","Kilkenny, Co. Kilkenny, Ireland",52.5776957,-7.218001999999999
1517,17629T,S N PADRAIG NAOFA,Ardcath,Garristown,Co. Meath,,Meath,Meath County Council,18354043,Fiona Daly,info@ardcathns.ie,A42WR12,N,N,N,No subjects through Irish,Catholic,66.0,63.0,129,"S N PADRAIG NAOFA, Ardcath, Garristown","Ardcath, Co. Meath, Ireland",53.6091281,-6.3916485
1518,17630E,S N MAODHOG,Knockbride East,Bailieborough,Co. Cavan,,Cavan,Cavan County Council,429660244,Margaret McCabe,eastknockbridens@yahoo.com,A82A567,N,N,N,No subjects through Irish,Catholic,28.0,37.0,65,"S N MAODHOG, Knockbride East, Bailieborough","East NS, Drumamuck Glebe, Knockbridge, Co. Cavan, Ireland",53.9875971,-6.994836299999999
1519,17631G,CEATHRU NA NGARRDHANTA,Ballytrasna,Tuam,Co. Galway,,Galway,Galway County Council,9324081,Anne Rhatigan,gardenfieldoffice@gmail.com,H54RW56,N,N,N,No subjects through Irish,Catholic,95.0,111.0,206,"CEATHRU NA NGARRDHANTA, Ballytrasna, Tuam","Tuam, Co. Galway, Ireland",53.5141156,-8.8565177
1520,17633K,S N EOIN BAISTE,Ballyvaughan,Via Galway,Co. Clare,,Clare,Clare County Council,657077079,Loretta Gray,info@ballyvaughanns.com,H91F6P2,N,N,N,No subjects through Irish,Catholic,13.0,17.0,30,"S N EOIN BAISTE, Ballyvaughan, Via Galway","Galway, Ireland",53.270668,-9.0567905
1521,17634M,SCOIL AILBHE,Parnell Street,Thurles,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,50421448,Brid Ryan,reception@scoilailbhe.ie,E41XY10,N,N,N,No subjects through Irish,Catholic,,205.0,205,"SCOIL AILBHE, Parnell Street, Thurles","Parnell St, Gortataggart, Thurles, Co. Tipperary, Ireland",52.6817006,-7.8179606
1522,17637S,S N SHEOSAIMH NAOFA,Ballinagar,Tullamore,Co. Offaly,,Offaly,Offaly County Council,579343615,Alan Plunkett,ballinagarns@gmail.com,R35RW26,N,N,N,No subjects through Irish,Catholic,87.0,94.0,181,"S N SHEOSAIMH NAOFA, Ballinagar, Tullamore","Tullamore, Co. Offaly, Ireland",53.27552550000001,-7.4933852
1523,17638U,ST JOSEPH'S N.S.,DONARD,POULPEASTY,"CLONROCHE, ENNISCORTHY",CO WEXFORD,Wexford,Wexford County Council,539244295,SINÉAD PARNELL,donardns@live.ie,Y21V091,N,Y,N,No subjects through Irish,Catholic,44.0,37.0,81,"ST JOSEPH'S N.S., DONARD, POULPEASTY","Poulpeasty House, Pollpeasty, Clonroche, Co. Wexford, Ireland",52.4498569,-6.790687999999999
1524,17639W,SCOIL NA MBRAITHRE,Brigown,Mitchelstown,Co. Cork,,Cork,Cork County Council,2524505,Máire Uí Cheallacháin,cbsmitchprimoffice@gmail.com,P67FY81,N,Y,N,No subjects through Irish,Catholic,,224.0,224,"SCOIL NA MBRAITHRE, Brigown, Mitchelstown","Scoil Na Mbraithre, Brigown, Mitchelstown, Co. Cork, Ireland",52.263138,-8.2664449
1525,17640H,S N COLMAIN NAOFA,Terryglass,Nenagh,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,6722269,Noreen Sheridan,terryglassns@eircom.net,E45T671,N,N,N,No subjects through Irish,Catholic,26.0,18.0,44,"S N COLMAIN NAOFA, Terryglass, Nenagh","Terryglass, Carrownaglogh, Nenagh, Co. Tipperary, Ireland",53.0560646,-8.204915
1526,17641J,S N REALT NA MARA,ROSSES POINT,SLIGO,,,Sligo,Sligo County Council,719177251,DEARBHLA GILL,snrealtnamara@gmail.com,F91TR29,N,N,N,No subjects through Irish,Catholic,47.0,56.0,103,"S N REALT NA MARA, ROSSES POINT, SLIGO","Rosses Point, Rosses Upper, Rosses Point, Co. Sligo, Ireland",54.3079937,-8.560941399999999
1527,17643N,S N CILL BHRIAIN,BALLINAMULT,CLONMEL,CO WATERFORD,,Waterford,Waterford County Council,5847416,Martin Delaney,kilbrienns@gmail.com,E91KX97,N,N,N,No subjects through Irish,Catholic,22.0,12.0,34,"S N CILL BHRIAIN, BALLINAMULT, CLONMEL","Clonmel, Co. Tipperary, Ireland",52.3558172,-7.6902551
1528,17644P,SCOIL MHUIRE,AUGHNAGARRON,GRANARD,CO LONGFORD,,Longford,Longford County Council,436686805,SIOBHAN SMITH,aughnagarron@gmail.com,N39KX77,N,N,N,No subjects through Irish,Catholic,29.0,38.0,67,"SCOIL MHUIRE, AUGHNAGARRON, GRANARD","Aughnagarron, Granard, Co. Longford, Ireland",53.7984819,-7.4709767
1529,17645R,S N CRONAIN,Kiltiernan,Kilcolgan,Co. Galway,,Galway,Galway County Council,91635000,Edel Leech,kiltiernanschool1@gmail.com,H91T2N2,N,N,N,No subjects through Irish,Catholic,27.0,36.0,63,"S N CRONAIN, Kiltiernan, Kilcolgan","Kiltiernan East, Kiltiernan, Co. Galway, Ireland",53.17969,-8.84177
1530,17646T,S N UAIMH BHREANAINN,Cill Dubh,Tra Li,Co Chiarrai,V92 AE73,Kerry,Kerry County Council,667137448,BARRY O'LEARY,obrennanns@gmail.com,V92AE73,N,N,N,No subjects through Irish,Catholic,97.0,85.0,182,"S N UAIMH BHREANAINN, Cill Dubh, Tra Li","St Brendan's Rd, Tralee, Co. Kerry, Ireland",52.2762934,-9.7027814
1531,17647V,MUIRE NA DEA COMHAIRLE,Church Road,Headford,Co. Galway,,Galway,Galway County Council,9335377,Mary Bernadette McNelis,headfordgirlsns@gmail.com,H91FD71,N,N,N,No subjects through Irish,Catholic,56.0,21.0,77,"MUIRE NA DEA COMHAIRLE, Church Road, Headford","Church Rd, Headford, Co. Galway, Ireland",53.4693382,-9.110567800000002
1532,17648A,S N BREANDAIN NAOFA,Church Road,Headford,Co. Galway,,Galway,Galway County Council,9335378,Concepta McHugh,hbns@eircom.net,H91NV02,N,N,N,No subjects through Irish,Catholic,,35.0,35,"S N BREANDAIN NAOFA, Church Road, Headford","Headford, Co. Galway, Ireland",53.4694617,-9.106133999999999
1533,17650K,S N IDE,Kilmead,Athy,Co. Kildare,,Kildare,Kildare County Council,598626100,Robert White,principal@kilmeadns.ie,R14EV65,N,N,N,No subjects through Irish,Catholic,89.0,99.0,188,"S N IDE, Kilmead, Athy","Athy, Co. Kildare, Ireland",52.9918336,-6.985728099999999
1534,17652O,SCOIL OILIBHEIR NAOFA,Kilcloon,Co. Meath,,,Meath,Meath County Council,16285816,Ken Keogan,principal.kilcloon@gmail.com,A85NH30,N,N,N,No subjects through Irish,Catholic,102.0,121.0,223,"SCOIL OILIBHEIR NAOFA, Kilcloon, Co. Meath","Bettystown, Ninch, Bettystown, Co. Meath, Ireland",53.6916819,-6.2439928
1535,17653Q,CASTLE INY N S,Castleiney,Templemore,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,50432474,Jody Harkin,castleineyns@gmail.com,E41X386,N,N,N,No subjects through Irish,Catholic,14.0,10.0,24,"CASTLE INY N S, Castleiney, Templemore","Castleiney, Templemore, Co. Tipperary, Ireland",52.78695279999999,-7.786973699999999
1536,17655U,S N CALADH NA MUC,Carrowmoreknock,Rosscahill,Co. Galway,,Galway,Galway County Council,91550009,Marie Gibbons,caladhnamuc.ns@gmail.com,H91XD57,N,Y,N,No subjects through Irish,Catholic,20.0,33.0,53,"S N CALADH NA MUC, Carrowmoreknock, Rosscahill","Collinamuck, Fough West, Oughterard, Co. Galway, Ireland",53.4285011,-9.3188105
1537,17656W,S N OLIBHEIR BEANNUITHE,Duncannon,Co. Wexford,,,Wexford,Wexford County Council,51389206,Vera Power,info@duncannonns.com,Y34CY63,N,N,N,No subjects through Irish,Catholic,32.0,38.0,70,"S N OLIBHEIR BEANNUITHE, Duncannon, Co. Wexford","Duncannon, Co. Wexford, Ireland",52.2206117,-6.9325606
1538,17660N,S N NAOMH TREASA,Cashel,Co. Galway,,,Galway,Galway County Council,9531126,Cepta Stephens,principal@cashelns.ie,H91A6C1,N,Y,N,Some subjects through Irish,Catholic,18.0,19.0,37,"S N NAOMH TREASA, Cashel, Co. Galway","Cashel, Co. Galway, H91 A6C1, Ireland",53.4188627,-9.8062285
1539,17662R,S N BRIGHDE,Kill,Co. Kildare,,,Kildare,Kildare County Council,45877592,Brendan Kelleher,info@killschool.ie,W91PF85,N,N,N,No subjects through Irish,Catholic,314.0,350.0,664,"S N BRIGHDE, Kill, Co. Kildare","Kill, Kill East, Kill, Co. Kildare, Ireland",53.24870629999999,-6.590530600000001
1540,17663T,ST PATRICKS N S,Rathvilly,Co. Carlow,,,Carlow,Carlow County Council,599161304,Helen Molloy,rathvilly.ns@gmail.com,R93RD98,N,N,N,No subjects through Irish,Catholic,110.0,101.0,211,"ST PATRICKS N S, Rathvilly, Co. Carlow","Patrickswell, Rathvilly, Co. Carlow, Ireland",52.8802987,-6.6903003
1541,17665A,S N GLEANN GUAIL,Glengoole North,Thurles,Co. Tipperary,,Tipperary,Tipperary (Sr) County Council,529156644,Nora Claire Ryan,glengoolenationalschool@gmail.com,E41X921,N,Y,N,No subjects through Irish,Catholic,13.0,9.0,22,"S N GLEANN GUAIL, Glengoole North, Thurles","Thurles, Co. Tipperary, Ireland",52.6801064,-7.8044421
1542,17667E,S N PADRAIG NAOFA,Farranastig,Whitechurch,Co. Cork,,Cork,Cork County Council,214884326,Imelda Desmond,imelda.desmond@whitechurchns.ie,T34AY74,N,N,N,No subjects through Irish,Catholic,160.0,179.0,339,"S N PADRAIG NAOFA, Farranastig, Whitechurch","Farranastig, Co. Cork, Ireland",51.9778451,-8.5426822
1543,17668G,S N NA BHFORBACHA,AN SPIDEAL,CO NA GAILLIMHE,,,Galway,Galway County Council,91592244,SEAN BREATHNACH,forbachasc@gmail.com,H91RR60,Y,N,N,All subjects through Irish,Catholic,86.0,94.0,180,"S N NA BHFORBACHA, AN SPIDEAL, CO NA GAILLIMHE","Stripe, Co. Galway, Ireland",53.2488441,-9.2055425
1544,17669I,S N TREASA NAOMHA,Tynock,Kiltegan,Co. Wicklow,,Carlow,Carlow County Council,596473210,Deirdre Walsh,tynockschool@gmail.com,W91TFN5,N,Y,N,No subjects through Irish,Catholic,31.0,39.0,70,"S N TREASA NAOMHA, Tynock, Kiltegan","Tiknock, Co. Carlow, Ireland",52.8935465,-6.6289348
1545,17674B,ST ANNES NATIONAL SCHOOL,Tipperstown,Straffan,Co. Kildare,,Kildare,Kildare County Council,16273367,Mary Manley,office@stannesardclough.ie,W23H330,N,N,N,No subjects through Irish,Catholic,149.0,183.0,332,"ST ANNES NATIONAL SCHOOL, Tipperstown, Straffan","Tipperstown, Co. Kildare, Ireland",53.2978326,-6.574161399999999
1546,17675D,S N TEAMPALL LOISCITHE,BURNCHURCH,CUFFESGRANGE KILKENNY,CO KILKENNY,,Kilkenny,Kilkenny County Council,567729138,Cian Power,burnchurchns@eircom.net,R95RT02,N,N,N,No subjects through Irish,Catholic,32.0,29.0,61,"S N TEAMPALL LOISCITHE, BURNCHURCH, CUFFESGRANGE KILKENNY","Burnchurch, Co. Kilkenny, Ireland",52.5794453,-7.2947979
1547,17678J,S N FIONDALBHA,Manulla,Castlebar,,,Mayo,Mayo County Council,949032010,FIONNUALA COSTELLO,info@manullans.ie,F23RY77,N,N,N,No subjects through Irish,Catholic,14.0,15.0,29,"S N FIONDALBHA, Manulla, Castlebar","Castlebar, Co. Mayo, Ireland",53.8550014,-9.287925699999999
1548,17681V,S N NA MAIGHNE,MOYNE,THURLES,,,Tipperary,Tipperary (Nr) County Council,50445375,MISS ESTHER HOGAN,admin@snamaighne.com,E41D6K3,N,N,N,No subjects through Irish,Catholic,48.0,49.0,97,"S N NA MAIGHNE, MOYNE, THURLES","Moyne Rd & Moyne Rd, Lognafulla, Thurles, Co. Tipperary, Ireland",52.6820628,-7.797204
